tech_id,体系,一级,二级,三级,层级类型,别名,标准路径
TECH_DRUG_072,drug,药物,其他,巴比妥类药物,药物研发与产品层,barbiturate derivative,药物 > 其他 > 巴比妥类药物
TECH_DRUG_073,drug,药物,其他,异烟酸类抗生素,药物研发与产品层,isonicotinic acid derivative,药物 > 其他 > 异烟酸类抗生素
TECH_DRUG_074,drug,药物,其他,强心苷类药物,药物研发与产品层,cardiac glycoside,药物 > 其他 > 强心苷类药物
TECH_DRUG_075,drug,药物,抗体技术,DNA编码的单抗,药物研发与产品层,DNA-encoded mAb; DNA编码的单克隆抗体; DNA encoded monoclonal antibody,药物 > 抗体技术 > DNA编码的单抗
TECH_DRUG_076,drug,药物,抗体技术,mRNA编码的单抗,药物研发与产品层,mRNA encoded mAb; mRNA编码的单克隆抗体; mRNA encoded monoclonal antibody,药物 > 抗体技术 > mRNA编码的单抗
TECH_DRUG_077,drug,药物,抗体技术,mRNA编码的双特异性抗体,药物研发与产品层,mRNA encoded bispecific antibody; mRNA编码的双抗; mRNA encoded BsAb,药物 > 抗体技术 > mRNA编码的双特异性抗体
TECH_DRUG_078,drug,药物,抗体技术,三特异性抗体,药物研发与产品层,trispecific antibody; 三抗,药物 > 抗体技术 > 三特异性抗体
TECH_DRUG_079,drug,药物,抗体技术,单域抗体,药物研发与产品层,single-domain antibody; 纳米抗体; nanobody; VHH; sdAb,药物 > 抗体技术 > 单域抗体
TECH_DRUG_080,drug,药物,抗体技术,单抗,药物研发与产品层,monoclonal antibody; 单克隆抗体; mAb,药物 > 抗体技术 > 单抗
TECH_DRUG_081,drug,药物,抗体技术,单链抗体,药物研发与产品层,single-chain antibody; single chain fragment variable; scFv,药物 > 抗体技术 > 单链抗体
TECH_DRUG_082,drug,药物,抗体技术,双特异性抗体,药物研发与产品层,bispecific antibody; 双抗; BsAb,药物 > 抗体技术 > 双特异性抗体
TECH_DRUG_083,drug,药物,抗体技术,多特异性抗体,药物研发与产品层,multispecific antibody,药物 > 抗体技术 > 多特异性抗体
TECH_DRUG_084,drug,药物,抗体技术,抗体偶联寡核苷酸,药物研发与产品层,antibody oligonucleotide conjugate; 抗体偶联小核酸,药物 > 抗体技术 > 抗体偶联寡核苷酸
TECH_DRUG_085,drug,药物,抗体技术,抗体偶联核素,药物研发与产品层,antibody radionuclide conjugates; 抗体核素偶联物,药物 > 抗体技术 > 抗体偶联核素
TECH_DRUG_086,drug,药物,抗体技术,抗体偶联药物,药物研发与产品层,antibody drug conjugate; 抗体药物偶联物; ADC,药物 > 抗体技术 > 抗体偶联药物
TECH_DRUG_087,drug,药物,抗体技术,抗体片段,药物研发与产品层,antibody fragment,药物 > 抗体技术 > 抗体片段
TECH_DRUG_088,drug,药物,抗体技术,抗体融合蛋白,药物研发与产品层,antibody fusion protein,药物 > 抗体技术 > 抗体融合蛋白
TECH_DRUG_089,drug,药物,放射性药物技术,11C标记的PET药物,药物研发与产品层,11C-labeled PET agent; 碳-11标记的PET药物,药物 > 放射性药物技术 > 11C标记的PET药物
TECH_DRUG_090,drug,药物,放射性药物技术,123I标记的放射性示踪剂,药物研发与产品层,123I-labeled radioactive tracer; 碘-123标记的放射性示踪剂,药物 > 放射性药物技术 > 123I标记的放射性示踪剂
TECH_DRUG_091,drug,药物,放射性药物技术,124I标记的放射性示踪剂,药物研发与产品层,124I-labeled radioactive tracer; 碘-124标记的放射性示踪剂,药物 > 放射性药物技术 > 124I标记的放射性示踪剂
TECH_DRUG_092,drug,药物,放射性药物技术,124I标记的放射性药物,药物研发与产品层,124I-based radiopharmaceuticals; 碘-124标记的放射性药物,药物 > 放射性药物技术 > 124I标记的放射性药物
TECH_DRUG_093,drug,药物,放射性药物技术,125I标记的放射性示踪剂,药物研发与产品层,125I-labeled radioactive tracer; 碘-125标记的放射性示踪剂,药物 > 放射性药物技术 > 125I标记的放射性示踪剂
TECH_DRUG_094,drug,药物,放射性药物技术,125I标记的放射性药物,药物研发与产品层,125I-based radiopharmaceuticals; 碘-125标记的放射性药物,药物 > 放射性药物技术 > 125I标记的放射性药物
TECH_DRUG_095,drug,药物,放射性药物技术,131Cs标记的放射性药物,药物研发与产品层,131Cs-based radiopharmaceuticals; 铯-131标记的放射性药物,药物 > 放射性药物技术 > 131Cs标记的放射性药物
TECH_DRUG_096,drug,药物,放射性药物技术,131I标记的放射性药物,药物研发与产品层,131I based radiopharmaceuticals; 碘-131标记的放射性药物,药物 > 放射性药物技术 > 131I标记的放射性药物
TECH_DRUG_097,drug,药物,放射性药物技术,13C标记的放射性药物,药物研发与产品层,13C-based radiopharmaceuticals; 碳-13标记的放射性药物,药物 > 放射性药物技术 > 13C标记的放射性药物
TECH_DRUG_098,drug,药物,放射性药物技术,140Nd标记的PET药物,药物研发与产品层,140Nd-labeled PET agent; 钕-140标记的PET药物,药物 > 放射性药物技术 > 140Nd标记的PET药物
TECH_DRUG_099,drug,药物,放射性药物技术,153Sm标记的放射性药物,药物研发与产品层,samarium-153 based radiopharmaceuticals,药物 > 放射性药物技术 > 153Sm标记的放射性药物
TECH_DRUG_100,drug,药物,放射性药物技术,15O标记的放射性示踪剂,药物研发与产品层,15O-labeled radioactive tracer; 氧-15标记的放射性示踪剂,药物 > 放射性药物技术 > 15O标记的放射性示踪剂
TECH_DRUG_101,drug,药物,放射性药物技术,161Tb标记的放射性药物,药物研发与产品层,161Tb-based radiopharmaceuticals; 铽-161标记的放射性药物,药物 > 放射性药物技术 > 161Tb标记的放射性药物
TECH_DRUG_102,drug,药物,放射性药物技术,166Ho标记的放射性药物,药物研发与产品层,166Ho-based radiopharmaceuticals; 钬-166标记的放射性药物,药物 > 放射性药物技术 > 166Ho标记的放射性药物
TECH_DRUG_103,drug,药物,放射性药物技术,177Lu标记的放射性药物,药物研发与产品层,177Lu-based radiopharmaceuticals; 镥-177标记的放射性药物,药物 > 放射性药物技术 > 177Lu标记的放射性药物
TECH_DRUG_104,drug,药物,放射性药物技术,186Re标记的放射性药物,药物研发与产品层,186Re-based radiopharmaceuticals; 铼-186标记的放射性药物,药物 > 放射性药物技术 > 186Re标记的放射性药物
TECH_DRUG_105,drug,药物,放射性药物技术,188Re标记的放射性药物,药物研发与产品层,188Re-based radiopharmaceuticals; 铼-188标记的放射性药物,药物 > 放射性药物技术 > 188Re标记的放射性药物
TECH_DRUG_106,drug,药物,放射性药物技术,18F标记的PET药物,药物研发与产品层,18F-labeled PET agent; 氟-18标记的PET药物,药物 > 放射性药物技术 > 18F标记的PET药物
TECH_DRUG_107,drug,药物,放射性药物技术,203Pb标记的放射性示踪剂,药物研发与产品层,203Pb-based radioactive tracer; 铅-203标记的放射性示踪剂,药物 > 放射性药物技术 > 203Pb标记的放射性示踪剂
TECH_DRUG_108,drug,药物,放射性药物技术,211At标记的放射性药物,药物研发与产品层,211At based radiopharmaceuticals; 砹-211标记的放射性药物,药物 > 放射性药物技术 > 211At标记的放射性药物
TECH_DRUG_109,drug,药物,放射性药物技术,212Pb标记的放射性药物,药物研发与产品层,212Pb-based radiopharmaceuticals; 铅-212标记的放射性药物,药物 > 放射性药物技术 > 212Pb标记的放射性药物
TECH_DRUG_110,drug,药物,放射性药物技术,213Bi标记的放射性药物,药物研发与产品层,213Bi-based radiopharmaceuticals; 铋-213标记的放射性药物,药物 > 放射性药物技术 > 213Bi标记的放射性药物
TECH_DRUG_111,drug,药物,放射性药物技术,223Ra标记的放射性药物,药物研发与产品层,223Ra-based radiopharmaceuticals; 镭-223标记的放射性药物,药物 > 放射性药物技术 > 223Ra标记的放射性药物
TECH_DRUG_112,drug,药物,放射性药物技术,225Ac标记的放射性药物,药物研发与产品层,225Ac-based radiopharmaceuticals; 锕-225标记的放射性药物,药物 > 放射性药物技术 > 225Ac标记的放射性药物
TECH_DRUG_113,drug,药物,放射性药物技术,227Th标记的放射性药物,药物研发与产品层,227Th-based radiopharmaceuticals; 钍-227标记的放射性药物,药物 > 放射性药物技术 > 227Th标记的放射性药物
TECH_DRUG_114,drug,药物,放射性药物技术,3H标记的PET药物,药物研发与产品层,3H-labeled PET agent; 氢-3标记的PET药物,药物 > 放射性药物技术 > 3H标记的PET药物
TECH_DRUG_115,drug,药物,放射性药物技术,44Sc标记的PET药物,药物研发与产品层,44Sc-labeled PET agent; 钪-44标记的PET药物,药物 > 放射性药物技术 > 44Sc标记的PET药物
TECH_DRUG_116,drug,药物,放射性药物技术,52Mn标记的PET药物,药物研发与产品层,52Mn-labeled PET agent; 锰-52标记的PET药物,药物 > 放射性药物技术 > 52Mn标记的PET药物
TECH_DRUG_117,drug,药物,放射性药物技术,61Cu标记的PET药物,药物研发与产品层,61Cu-labeled PET agent; 铜-61标记的PET药物,药物 > 放射性药物技术 > 61Cu标记的PET药物
TECH_DRUG_118,drug,药物,放射性药物技术,64Cu标记的放射性示踪剂,药物研发与产品层,64Cu-labeled radioactive tracer; 铜-64标记的放射性示踪剂,药物 > 放射性药物技术 > 64Cu标记的放射性示踪剂
TECH_DRUG_119,drug,药物,放射性药物技术,64Zn标记的放射性药物,药物研发与产品层,64Zn-labeled radiopharmaceuticals; 锌-64标记的放射性药物,药物 > 放射性药物技术 > 64Zn标记的放射性药物
TECH_DRUG_120,drug,药物,放射性药物技术,67Cu标记的放射性药物,药物研发与产品层,67Cu based radiopharmaceuticals; 铜-67标记的放射性药物,药物 > 放射性药物技术 > 67Cu标记的放射性药物
TECH_DRUG_121,drug,药物,放射性药物技术,68Ga标记的PET药物,药物研发与产品层,68Ga-labeled PET agent; 镓-68标记的PET药物,药物 > 放射性药物技术 > 68Ga标记的PET药物
TECH_DRUG_122,drug,药物,放射性药物技术,89Sr标记的放射性药物,药物研发与产品层,89Sr-based radiopharmaceuticals; 锶-89标记的放射性药物,药物 > 放射性药物技术 > 89Sr标记的放射性药物
TECH_DRUG_123,drug,药物,放射性药物技术,89Zr标记的PET药物,药物研发与产品层,A11789Zr-labeled PET agent; 锆-89标记的PET药物,药物 > 放射性药物技术 > 89Zr标记的PET药物
TECH_DRUG_124,drug,药物,生物药-核酸技术,DNAi疗法,药物研发与产品层,DNAi therapy; DNA干扰疗法,药物 > 生物药-核酸技术 > DNAi疗法
TECH_DRUG_125,drug,药物,生物药-核酸技术,DNA疫苗,药物研发与产品层,DNA vaccine,药物 > 生物药-核酸技术 > DNA疫苗
TECH_DRUG_126,drug,药物,生物药-核酸技术,DNA编码的单抗,药物研发与产品层,DNA-encoded mAb; DNA编码的单克隆抗体; DNA encoded monoclonal antibody,药物 > 生物药-核酸技术 > DNA编码的单抗
TECH_DRUG_127,drug,药物,生物药-核酸技术,RNAi疗法,药物研发与产品层,RNAi therapy; RNA干扰疗法; siRNA疗法; miRNA疗法,药物 > 生物药-核酸技术 > RNAi疗法
TECH_DRUG_128,drug,药物,生物药-核酸技术,RNA疗法,药物研发与产品层,RNA therapy,药物 > 生物药-核酸技术 > RNA疗法
TECH_DRUG_129,drug,药物,生物药-核酸技术,centyrin偶联寡核苷酸,药物研发与产品层,centyrin oligonucleotide conjugate; centyrin偶联小核酸; centyrin偶联寡核苷酸,药物 > 生物药-核酸技术 > centyrin偶联寡核苷酸
TECH_DRUG_130,drug,药物,生物药-核酸技术,mRNA疗法,药物研发与产品层,mRNA-based therapy,药物 > 生物药-核酸技术 > mRNA疗法
TECH_DRUG_131,drug,药物,生物药-核酸技术,mRNA编码的单抗,药物研发与产品层,mRNA encoded mAb; mRNA编码的单克隆抗体; mRNA encoded monoclonal antibody,药物 > 生物药-核酸技术 > mRNA编码的单抗
TECH_DRUG_132,drug,药物,生物药-核酸技术,mRNA编码的双特异性抗体,药物研发与产品层,mRNA encoded bispecific antibody; mRNA编码的双抗; mRNA encoded BsAb,药物 > 生物药-核酸技术 > mRNA编码的双特异性抗体
TECH_DRUG_133,drug,药物,生物药-核酸技术,saRNA疗法,药物研发与产品层,small activating RNA therapeutic; 小激活RNA疗法,药物 > 生物药-核酸技术 > saRNA疗法
TECH_DRUG_134,drug,药物,生物药-核酸技术,tRNA疗法,药物研发与产品层,tRNA-based therapy; 转运RNA疗法,药物 > 生物药-核酸技术 > tRNA疗法
TECH_DRUG_135,drug,药物,生物药-核酸技术,反义疗法,药物研发与产品层,antisense therapy; 反义寡核苷酸疗法; ASO疗法,药物 > 生物药-核酸技术 > 反义疗法
TECH_DRUG_136,drug,药物,生物药-核酸技术,小分子缀合小核酸,药物研发与产品层,Small molecule conjugated small nucleic acid; 小分子-寡核苷酸缀合物,药物 > 生物药-核酸技术 > 小分子缀合小核酸
TECH_DRUG_137,drug,药物,生物药-核酸技术,环状RNA疗法,药物研发与产品层,circRNA-based therapy; circRNA疗法,药物 > 生物药-核酸技术 > 环状RNA疗法
TECH_DRUG_138,drug,药物,生物药-核酸技术,适体,药物研发与产品层,aptamer; 核酸适体; 适配体,药物 > 生物药-核酸技术 > 适体
TECH_DRUG_139,drug,药物,疫苗技术,DNA疫苗,药物研发与产品层,DNA vaccine,药物 > 疫苗技术 > DNA疫苗
TECH_DRUG_140,drug,药物,疫苗技术,mRNA疫苗,药物研发与产品层,mRNA-based vaccine,药物 > 疫苗技术 > mRNA疫苗
TECH_DRUG_141,drug,药物,疫苗技术,减毒活疫苗,药物研发与产品层,live-attenuated vaccine,药物 > 疫苗技术 > 减毒活疫苗
TECH_DRUG_142,drug,药物,疫苗技术,合成疫苗,药物研发与产品层,synthetic vaccine,药物 > 疫苗技术 > 合成疫苗
TECH_DRUG_143,drug,药物,疫苗技术,多糖疫苗,药物研发与产品层,polysaccharide vaccine,药物 > 疫苗技术 > 多糖疫苗
TECH_DRUG_144,drug,药物,疫苗技术,多糖结合疫苗,药物研发与产品层,polysaccharide conjugate vaccine,药物 > 疫苗技术 > 多糖结合疫苗
TECH_DRUG_145,drug,药物,疫苗技术,多肽结合疫苗,药物研发与产品层,peptide conjugate vaccine,药物 > 疫苗技术 > 多肽结合疫苗
TECH_DRUG_146,drug,药物,疫苗技术,寄生虫载体疫苗,药物研发与产品层,parasite vector vaccine,药物 > 疫苗技术 > 寄生虫载体疫苗
TECH_DRUG_147,drug,药物,疫苗技术,活疫苗,药物研发与产品层,live vaccine,药物 > 疫苗技术 > 活疫苗
TECH_DRUG_148,drug,药物,疫苗技术,灭活疫苗,药物研发与产品层,inactived vaccine,药物 > 疫苗技术 > 灭活疫苗
TECH_DRUG_149,drug,药物,疫苗技术,环状RNA疫苗,药物研发与产品层,circRNA-based vaccine; circRNA疫苗,药物 > 疫苗技术 > 环状RNA疫苗
TECH_DRUG_150,drug,药物,疫苗技术,病毒样颗粒疫苗,药物研发与产品层,viral like particles vaccine; VLP疫苗; 类病毒颗粒疫苗,药物 > 疫苗技术 > 病毒样颗粒疫苗
TECH_DRUG_151,drug,药物,疫苗技术,病毒载体疫苗,药物研发与产品层,viral vector vaccine,药物 > 疫苗技术 > 病毒载体疫苗
TECH_DRUG_152,drug,药物,疫苗技术,癌症疫苗,药物研发与产品层,cancer vaccine; 肿瘤疫苗,药物 > 疫苗技术 > 癌症疫苗
TECH_DRUG_153,drug,药物,疫苗技术,类毒素疫苗,药物研发与产品层,toxoid vaccine,药物 > 疫苗技术 > 类毒素疫苗
TECH_DRUG_154,drug,药物,疫苗技术,纳米颗粒疫苗,药物研发与产品层,nanoparticle vaccine,药物 > 疫苗技术 > 纳米颗粒疫苗
TECH_DRUG_155,drug,药物,疫苗技术,细菌样颗粒疫苗,药物研发与产品层,bacterial like particles vaccine,药物 > 疫苗技术 > 细菌样颗粒疫苗
TECH_DRUG_156,drug,药物,疫苗技术,细菌载体疫苗,药物研发与产品层,bacterial vector vaccine,药物 > 疫苗技术 > 细菌载体疫苗
TECH_DRUG_157,drug,药物,疫苗技术,脱敏疫苗,药物研发与产品层,desensitising vaccine,药物 > 疫苗技术 > 脱敏疫苗
TECH_DRUG_158,drug,药物,疫苗技术,重组蛋白疫苗,药物研发与产品层,recombinant protein vaccine,药物 > 疫苗技术 > 重组蛋白疫苗
TECH_DRUG_159,drug,药物,疫苗技术,重组蛋白结合疫苗,药物研发与产品层,recombinant protein-conjugate vaccine,药物 > 疫苗技术 > 重组蛋白结合疫苗
TECH_DRUG_160,drug,药物,细胞与基因治疗 (CGT),CAR CIK细胞,药物研发与产品层,CAR modified cytokine induced killer cells; CAR-细胞因子诱导的杀伤细胞疗法,药物 > 细胞与基因治疗 (CGT) > CAR CIK细胞
TECH_DRUG_161,drug,药物,细胞与基因治疗 (CGT),CAR M细胞疗法,药物研发与产品层,CAR M cell therapy; CAR-巨噬细胞疗法,药物 > 细胞与基因治疗 (CGT) > CAR M细胞疗法
TECH_DRUG_162,drug,药物,细胞与基因治疗 (CGT),CAR NKT细胞疗法,药物研发与产品层,CAR NKT cell therapy; CAR-自然杀伤性T细胞疗法,药物 > 细胞与基因治疗 (CGT) > CAR NKT细胞疗法
TECH_DRUG_163,drug,药物,细胞与基因治疗 (CGT),CAR NK细胞疗法,药物研发与产品层,CAR NK cell therapy; CAR-自然杀伤细胞疗法,药物 > 细胞与基因治疗 (CGT) > CAR NK细胞疗法
TECH_DRUG_164,drug,药物,细胞与基因治疗 (CGT),CAR Treg细胞疗法,药物研发与产品层,CAR Treg cell therapy; CAR-调节性T细胞疗法,药物 > 细胞与基因治疗 (CGT) > CAR Treg细胞疗法
TECH_DRUG_165,drug,药物,细胞与基因治疗 (CGT),CAR T细胞疗法,药物研发与产品层,CAR T cell therapy,药物 > 细胞与基因治疗 (CGT) > CAR T细胞疗法
